Id	Label	weighted_eigenvector_centrality	weighted_betweennes_centrality
A007134	A-W Csoportos	0.0014511805087386242	0.0
A013415	A. E. Bizottság	0.00041751291827032657	0.0
A017912	A. Gergely András	0.0004300444683129824	0.0
A014519	A. Petényi Zsuzsanna	8.525739009165288e-06	0.0
A016600	A. Ádám József	0.00016217986212607553	1.563658472978902e-08
A008789	A.G. Hartono	0.0002274153183177807	1.2107820188372661e-05
A018762	A.P.A. Galéria	6.910797335727564e-05	0.0
A021000	Aalto Egyetem	1.3573363946081675e-06	1.5506279857040777e-08
A011608	Aaron Blumm	4.100312424826252e-05	0.0
A010613	Aaron Fabian	0.0007781630205876845	0.0
A011250	Aaron Rose	3.4993987204109045e-07	0.0
A010628	Aaron Van Erp	2.178974287834583e-19	0.0
A018499	Aart Architects	1.0647715054658683e-18	0.0
A025470	Aatoth Franyo	0.04892156029187123	0.0012007736949819561
A003038	Aatoth Franyó	0.0057575835159292725	0.0
A002583	Aba Novák Vilmos	0.0006084713009992909	0.0
A025471	Aba-Novák Vilmos	0.0031886378946066186	3.3221607204931764e-06
A016071	Abaffy Kinga	0.00036534493175667293	2.5949759340757737e-05
A014152	Abbas Kowsari	0.00010978115101351754	0.0
A012838	Abdellah Karroum	0.00044175912093873815	0.0
A014157	Abed Al Kadiri	0.00010978115101351754	0.0
A020961	Abhinav Chowbey	9.073680495078721e-05	0.0
A013159	Abid Hasan Noor	1.6488017057994918e-07	0.0
A007389	Abigail Lazkoz	0.0005026171696969541	0.0
A018210	Ablonczy Balázs	0.0005874647563795037	0.0
A024764	Abodi Dóra	0.00038385900219210355	0.0
A005036	Abonyi Alma	0.0077217942520301595	7.346100082273067e-05
A021626	Abu Arafeh	0.00014274755485954105	0.0
A009615	Acapella Kórus	2.0657259353921395e-05	0.0
A008019	Achim Kramer	0.00019160266188804386	0.0
A000950	Acsa-Szücs Imre	0.00024686499997930077	0.0
A009713	Acsai Miklós	0.0011741609491395478	2.289022264610781e-07
A025472	Acsai Roland	0.00042916325322761497	0.0004967482358908474
A008858	Acsai Varga Veronika	0.001051027710959574	1.3306326402323116e-05
A019096	Aczél Richard	0.001849167055510028	0.0
A014270	Ad Dekkers	3.312183529793914e-05	0.0
A021374	Ada Buchholc	1.0636834435081671e-18	0.0
A005599	Ada Buonocore	4.7420829117039545e-20	0.0
A025009	Ada Weber	0.0004947845929593312	0.0
A017417	Adalberto Mecarelli	0.0002605107476815398	2.0532030640745694e-08
A006855	Adam Bernales	0.00016708753069024672	0.0
A018900	Adam Castle	5.416171944958046e-05	0.0
A001144	Adam Chodzko	6.162069984058743e-05	0.0
A021181	Adam Donovan	5.38162332886665e-05	0.0
A000295	Adam Geczy	6.187460639958916e-05	0.0
A009312	Adam Rzepecki	0.0029207401118279304	2.5843799761734627e-08
A024820	Adam Szentpétery	0.0007045051170902705	0.0
A015767	Adam Walas	0.0004170136097202707	0.0
A008112	Adamik Lajos	0.0016294678648044224	0.0
A013642	Adamko Dávid	0.0011742659740170017	0.0
A003680	Adamkó Dávid	0.009825753720187508	1.5060474311150855e-05
A009877	Adele Eisenstein	0.0027041597028567422	0.0
A004341	Adi Rosenblum	0.0011339973389260928	0.0
A025474	Adina Bar-On	0.0001255935643952048	0.0003632346056511802
A017045	Adina Mocanu	6.258047797302145e-06	0.0
A021515	Adolf Stiller	2.5902473750728954e-06	0.0
A025475	Adolph Stiller	4.192482812204494e-06	0.0
A022265	Adolphe Braun	0.0003038888210197657	1.4989403861806081e-07
A022269	Adolphe Goupil	0.0003038888210197657	1.4989403861806081e-07
A004026	Adorján Attila	0.005761429971646912	1.948924013032011e-05
A004568	Adorján Gábor	0.0004047134207593876	0.0
A008985	Adorján Éva	0.00023463684890796485	5.491807449368608e-08
A023466	Adriaan Gonnissen	0.000295623584233039	0.0
A022227	Adrian Ghenie	0.0002851376052231158	0.0
A020604	Adrian Kolerski	0.0002895198455420705	0.0
A016167	Adrian Manolescu	0.0006369047068032496	0.0
A025476	Adrian Paci	0.0027112998278117735	0.0025183792188819528
A025477	Adrian Paul Ile	5.343403575087294e-05	1.5506279857040776e-07
A018434	Adriana Daly-Peterova	2.9787895385946816e-06	0.00029058768452094413
A013017	Adriana Priatková	0.00022110118123595373	7.256938973095083e-05
A010936	Adriane Wachholz	0.0010927174637191048	0.0
A023772	Adrien Missika	3.8186758417725706e-05	0.0
A009345	Adrien Tirtiaux	0.0005718254284728207	0.0
A004018	Adriena Simutova	0.0006007244020903505	0.0
A024798	Adrienn Császár	2.6786387417086915e-19	0.0
A016684	Adrienna Kutakova	1.5402258344778376e-05	0.0
A023716	Adrijan Praznik	1.0351372283958785e-19	0.0
A021812	Adrjian Kavardic	5.79425886780923e-05	0.0
A025478	Adéla Babanová	0.0051856624587551525	3.101255971408155e-07
A025479	Aernout Mik	0.0013487029336241804	0.0
A008704	Afzámbó István	0.003736302321623429	0.0
A006422	Agata Chinowska	1.641069566676003e-05	0.0
A021377	Agata Dudek	1.0636834435081671e-18	0.0
A021384	Agata Królak	1.0636834435081671e-18	0.0
A019528	Agata Kus	1.9094911533387812e-16	0.0
A004228	Agata Siecinska	1.0351372283958785e-19	0.0
A012036	Agathe Bishoff-Morales	0.000194916718484553	0.0
A013473	Agelus Iván	0.0021679048149039633	0.0
A011739	Agents Of Change	0.000787019285621085	0.0
A011538	Ages Von Uray	0.0005018522798061715	0.0
A025480	Agg Lili	0.00046458295865069486	1.033751990469385e-08
A007523	Agnes Fojtiková	0.001055358225946411	0.0
A022816	Agnes Hamvas	0.0004083090051026279	0.0
A025481	Agnes Rodier	0.0009578649345520413	1.5506279857040776e-07
A022821	Agnes Varnai	0.0004083090051026279	0.0
A025482	Agnes Von Uray	0.008437112435516848	9.527596725381712e-05
A020606	Agnieszka Jankowska-Marzec	0.0005721541400954168	0.0
A013808	Agnieszka Kalinowska	5.4669689768415014e-06	0.0
A007385	Agnieszka Kaminska	0.0014185402958774153	0.0
A021397	Agnieszka Kowalska	1.0636834435081671e-18	0.0
A023367	Agnieszka Piasecka	2.4825949705558594e-05	1.5506279857040776e-07
