Source	Target	Weight	Type
G000005	G000375	18.0	Undirected
G000005	G000394	5.0	Undirected
G000005	G000304	2.0	Undirected
G000005	G000411	18.0	Undirected
G000005	G000420	3.0	Undirected
G000005	G000234	10.0	Undirected
G000005	G000134	13.0	Undirected
G000005	G000209	4.0	Undirected
G000005	G000014	6.0	Undirected
G000005	G000276	6.0	Undirected
G000406	G000071	50.0	Undirected
G000406	G000016	2.0	Undirected
G000406	G000120	2.0	Undirected
G000406	G000157	8.0	Undirected
G000406	G000144	2.0	Undirected
G000406	G000059	2.0	Undirected
G000406	G000045	6.0	Undirected
G000406	G000037	4.0	Undirected
G000406	G000139	6.0	Undirected
G000406	G000336	2.0	Undirected
G000406	G000234	12.0	Undirected
G000406	G000315	4.0	Undirected
G000406	G000118	2.0	Undirected
G000406	G000345	2.0	Undirected
G000406	G000028	12.0	Undirected
G000406	G000096	2.0	Undirected
G000406	G000046	6.0	Undirected
G000406	G000239	67.0	Undirected
G000406	G000024	2.0	Undirected
G000406	G000375	36.0	Undirected
G000406	G000304	4.0	Undirected
G000406	G000411	9.0	Undirected
G000406	G000135	10.0	Undirected
G000406	G000420	6.0	Undirected
G000406	G000262	6.0	Undirected
G000406	G000086	6.0	Undirected
G000406	G000134	26.0	Undirected
G000406	G000209	8.0	Undirected
G000406	G000062	18.0	Undirected
G000406	G000371	1.0	Undirected
G000406	G000042	82.0	Undirected
G000406	G000255	81.0	Undirected
G000406	G000276	12.0	Undirected
G000187	G000108	981.0	Undirected
G000187	G000228	12.0	Undirected
G000187	G000239	195.0	Undirected
G000187	G000310	11.0	Undirected
G000187	G000122	18.0	Undirected
G000187	G000188	6.0	Undirected
G000187	G000360	8.0	Undirected
G000187	G000121	14.0	Undirected
G000187	G000021	256.0	Undirected
G000187	G000178	20.0	Undirected
G000187	G000333	3.0	Undirected
G000187	G000329	28.0	Undirected
G000187	G000369	1.0	Undirected
G000187	G000261	14.0	Undirected
G000187	G000344	14.0	Undirected
G000187	G000016	248.0	Undirected
G000187	G000149	126.0	Undirected
G000187	G000197	63.0	Undirected
G000187	G000040	55.0	Undirected
G000187	G000221	1.0	Undirected
G000187	G000025	180.0	Undirected
G000187	G000231	96.0	Undirected
G000187	G000338	1.0	Undirected
G000187	G000375	72.0	Undirected
G000187	G000207	748.0	Undirected
G000187	G000283	1.0	Undirected
G000187	G000264	31.0	Undirected
G000187	G000353	337.0	Undirected
G000187	G000002	244.0	Undirected
G000187	G000118	179.0	Undirected
G000187	G000182	16.0	Undirected
G000187	G000137	18.0	Undirected
G000187	G000394	20.0	Undirected
G000187	G000038	168.0	Undirected
G000187	G000246	69.0	Undirected
G000187	G000292	153.0	Undirected
G000187	G000404	12.0	Undirected
G000187	G000321	19.0	Undirected
