Id	Label	weighted_eigenvector_centrality	weighted_betweenness_centrality
G000005	1 x 1 tábla	5.256720112431808e-05	1.8522661358605277e-05
G000406	115-106 Lakásgaléria	0.0007099972409783284	0.01395639150885552
G000187	20 éves az ikOn	0.0758327124267472	0.014914355614043568
G000108	2B Galéria	0.128049369463783	0.004641704652914105
G000228	320fok Siófok	0.0037083605096825847	0.0034999731687926205
G000164	4M RadaR Underground Station	0.0002608990771930499	4.123638089220303e-06
G000327	A22 Galéria	0.0019471901978000295	0.00016709257465464557
G000239	A38 Kiállítóhely	0.04442295622551545	0.004828334061773224
G000083	ABB Galéria	4.421576510006439e-05	0.008135437585075669
G000119	ABLON Galéria	3.921392527721776e-05	0.0
G000191	ACAX / Agency for Contemporary Art Exchange	0.05386888612341901	0.00698426496586482
G000184	AKKU - Alternatív Kulturális Közösségek Úniója	0.0005329139852882103	0.0
G000316	AMATÁR	0.0003784775675421187	1.8522661358605277e-05
G000070	ART EXPO	3.278989555400257e-05	0.0011747782906067522
G000372	ART&ME Galéria	0.021715074326518397	0.0
G000018	ARTFORT Monostori Erőd	0.08569917684449437	3.8863818262444046e-05
G000126	ARTUS – KAPCSOLÓTÉR	0.02069976099754727	0.0
G000274	ARTplacc Kortárs Művészeti Fesztivál	0.007296605801592376	9.931205120637963e-05
G000310	Abigail Galéria és Aukciós Ház	0.00022551500102948254	0.002795065795064947
G000122	Almássy Téri Szabadidőközpont Galéria	0.0017031054724072146	0.0
G000290	Ari Kupsus Gallery – GRAPHICS	0.027950200684782437	0.0
G000250	Ari Kupsus Galéria	0.20204508141271968	0.00026784950064887833
G000196	Art Factory Galéria I.	3.965883352446801e-06	0.0008586700959119366
G000185	Art Factory Galéria II.	0.0006966737367965664	0.003383708624019143
G000188	Art Factory Studió és Art Factory Fotó	0.002060166543721569	0.015271739480120852
G000341	Art Quarter Budapest	0.04441838859829489	0.0
G000360	Art+Text Budapest	0.003679289945299162	0.001983025014138029
G000275	Art9 Galéria	0.00935637791097228	0.0014750717991911253
G000173	ArtBázis	0.0005128719444377254	0.004864719408155882
G000284	ArtGuideEast	0.00015561760130860963	0.004953879936508599
G000121	Artitude Galéria	0.0010964212623738904	0.0
G000390	Artkartell projectspace	1.1053472906375257e-88	0.0
G000328	Artmagazin	0.00013555874139342057	0.0013934812096823282
G000066	Artpool P60	0.012419223714803602	0.00315986187735744
G000021	Ateliers Pro Arts/A.P.A.!	0.34051738157010686	0.008249615131567524
G000282	B24 Galéria	0.0071802082796047955	1.702222932935576e-05
G000351	B32 Galéria és Kultúrtér	0.019148994429959213	0.008466740493702364
G000178	B55 Kortárs Galéria	0.03707447471148106	0.0007181646146511789
G000061	BALKON - Kortárs Művészeti Folyóirat	0.00047129171337321297	0.004753066162299521
G000244	BUMBUM	1.1053472906375257e-88	0.0
G000333	BUPAP Budapesti Aszfaltprojekt	0.0015539375929871388	0.00764228617336964
G000300	BackStage Galéria	0.003452905093025981	0.00011849795168473727
G000418	Bakelit Multi Art Center	4.5144321632849424e-07	0.0
G000064	Balassi Könyvesbolt	1.0225733059819797e-06	0.0
G000336	Balatonboglári Kápolnatárlat	0.0043702060833659484	0.005842679937452607
G000329	Barabás Villa Galéria	0.003809304229019473	0.0
G000236	Barakk Galéria	6.798041541952305e-05	0.0008373857239154603
G000305	Bartók 1 Galéria	0.006211441465440045	0.0005255489448525697
G000032	Bartók 32 Galéria	0.01576001627766692	0.013467899099042582
G000369	Bartók Béla Boulevard	9.764530801705337e-05	0.012100571846041564
G000017	Bercsényi 28-30 Galéria	0.0032461939199722872	0.0005739763746240627
G000368	Bergman Galéria	0.0001400722402286583	0.004390231044395496
G000299	Blitz Galeria	0.0037110135889300193	0.005667307496067442
G000261	Blood Mountain Alapítvány	0.006993811867201502	4.712605770996012e-05
G000082	Bolt Galéria	0.004092061200987321	0.004407610437045657
G000344	Budapest Art Brut Galéria	0.005033915017495226	0.0
G000226	Budapest Fiction	9.892025366563908e-05	0.012078652267053677
G000016	Budapest Galéria	0.3071183503643451	0.04155902610224258
G000367	BudapestArtWeek	0.005699822721662091	1.558372680091057e-05
G000301	Bunker Galéria	0.0007377848344799902	0.0
G000287	BÜRO imaginaire	1.2790355390072676e-06	0.0
G000192	Bálint Ház	0.01838583936029657	0.01995692224013142
G000220	Béka Kortárs Művészeti Galéria	3.205471605823418e-05	0.0
G000073	C3 Alapítvány	0.005636015443898634	0.003602147458954865
